Virtual User Script started at: 24-02-2024 14:09:22	[MsgId: MMSG-15967]
Action.c(66): web_url("addContact") started  	[MsgId: MMSG-26355]
Action.c(66): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/addContact"  	[MsgId: MMSG-26659]
Action.c(66): Found resource "https://thinking-tester-contact-list.herokuapp.com/img/thinkingTesterLogo.png" in HTML "https://thinking-tester-contact-list.herokuapp.com/addContact"  	[MsgId: MMSG-26659]
Action.c(66): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/addContact.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/addContact"  	[MsgId: MMSG-26659]
Action.c(66): web_url("addContact") was successful, 4613 body bytes, 3186 header bytes  	[MsgId: MMSG-26386]
Action.c(77): lr_think_time: 29.00 seconds.	[MsgId: MMSG-15948]
Action.c(79): web_custom_request("contacts_2") started  	[MsgId: MMSG-26355]
Action.c(79): Error -26546: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26546]
Action.c(79): Error -26629: HTTP Status-Code=401 (Unauthorized) for "https://thinking-tester-contact-list.herokuapp.com/contacts"  	[MsgId: MERR-26629]
Action.c(79): web_custom_request("contacts_2") highest severity level was "ERROR", 32 body bytes, 763 header bytes  	[MsgId: MMSG-26388]
Ending action Action.	[MsgId: MMSG-15918]
Action was aborted.	[MsgId: MMSG-10694]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
vuser_end.c(6): web_add_auto_header("Accept-Language") started  	[MsgId: MMSG-26355]
vuser_end.c(6): web_add_auto_header("Accept-Language") was successful  	[MsgId: MMSG-26392]
vuser_end.c(9): lr_think_time: 19.00 seconds.	[MsgId: MMSG-15948]
vuser_end.c(11): web_url("logout") started  	[MsgId: MMSG-26355]
vuser_end.c(11): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/logout"  	[MsgId: MMSG-26659]
vuser_end.c(11): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/logout.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/logout"  	[MsgId: MMSG-26659]
vuser_end.c(11): web_url("logout") was successful, 577 body bytes, 2396 header bytes  	[MsgId: MMSG-26386]
vuser_end.c(20): web_custom_request("logout_2") started  	[MsgId: MMSG-26355]
vuser_end.c(20): Error -26546: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26546]
vuser_end.c(20): Error -26629: HTTP Status-Code=401 (Unauthorized) for "https://thinking-tester-contact-list.herokuapp.com/users/logout"  	[MsgId: MERR-26629]
vuser_end.c(20): web_custom_request("logout_2") highest severity level was "ERROR", 32 body bytes, 755 header bytes  	[MsgId: MMSG-26388]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
